Name,Label,GEOID,LE,FQHC,MedianHH,PerCap,Poverty,Unemployment,Preschool,HS,College,LimEngP,ForeignB,Uninsured,AmbDif,CogDif,HearDif,IndLivDif,SelfCarDif,VisionDif,SNAP,WelfareR,PovNoSNAP,RentBurd,SevRentBurd,SinParHH,VacantH,CrowdedH,EconDivIndex,HardshipIndex
Chicago,Chicago,1714000,77.2877,187,61783.5,39355.73,18.3896,8.0618,57.8867,85.1241,39.479,7.6351,20.6397,9.6478,6.0576,3.7788,2.1512,4.1794,2.3347,2.3852,18.2581,3.1512,48.0514,45.9728,23.9051,7.3924,12.1554,3.6196,0.7938,62.1715
Albany Park,AlbanyPk,14,79.6146,4,68434.85,33104.54,14.3427,5.1774,43.2792,81.4867,38.1369,14.9797,37.9015,15.3761,4.3993,3.6916,2.4727,3.1208,1.6167,2.1509,15.2959,2.7956,55.5736,41.6827,18.8093,6.5106,7.7128,6.7341,0.7648,59.7369
Archer Heights,ArcherHts,57,80.6178,1,56529.17,22064.92,14.128,7.6774,34.0697,68.8237,14.5115,17.6309,36.93,10.2394,3.6993,2.0566,1.4156,2.5216,1.4608,1.154,16.4363,2.6903,30.1251,49.7458,21.0432,6.5902,7.745,8.2668,0.7961,84.7738
Armour Square,ArmourSq,34,80.6549,0,33603.19,21748.91,37.3926,12.8697,55.5684,63.4628,23.5282,31.3266,49.3063,7.8901,9.4696,5.129,4.9118,5.3355,3.922,2.5079,31.4903,3.2569,48.4642,38.3818,15.64,6.8285,6.7467,7.0419,0.7417,90.941
Ashburn,Ashburn,70,76.3613,0,77056.23,27176.02,13.1117,11.1055,45.6143,83.1474,20.9084,5.5289,17.4072,9.4142,4.475,2.4033,1.2245,3.2697,1.7145,1.8608,13.794,3.9509,63.9578,59.1019,33.7227,8.5979,4.608,3.8499,0.7902,71.3132
Auburn Gresham,AubGresham,71,71.7659,4,37669.84,21276.91,25.1686,15.9346,37.5027,84.333,15.5136,0.1962,2.1333,8.1134,10.4327,5.644,1.9076,6.7236,3.9423,3.4991,33.717,5.6408,34.5484,56.4512,35.2965,14.4344,16.9515,1.6679,0.7907,83.6347
Austin,Austin,25,70.6346,3,43187.32,23651.73,25.3835,11.932,60.9452,81.4135,16.6071,2.717,7.2779,11.583,10.5316,6.9739,2.9798,6.6427,3.8177,5.0039,32.6279,5.0778,45.0954,61.658,35.8651,11.9463,13.417,3.6218,0.7556,76.4689
Avalon Park,AvalonPk,45,73.9329,1,48350.16,26974.39,20.8054,14.5587,19.0242,89.2702,27.1987,0.0002,1.4396,5.2885,13.1568,5.2665,2.1345,8.31,5.9332,5.2392,22.7677,2.4632,43.1565,64.7811,38.1079,6.5887,12.54,2.2589,0.8102,77.6491
Avondale,Avondale,21,81.3581,1,72202.96,35722.84,14.3213,4.3261,49.6197,80.8507,38.411,13.8735,28.5569,16.694,4.1139,2.4631,1.6399,2.7732,1.568,1.3266,10.3662,3.6817,59.994,42.2781,21.7784,5.8893,10.6004,3.1035,0.7715,50.0381
Belmont Cragin,BelCrag,19,79.6531,2,56322.84,21776.45,15.7923,6.1666,47.1333,68.5992,13.4133,20.5669,39.0469,16.4198,5.0643,3.3642,1.9083,3.6357,1.8881,3.008,19.3953,2.9432,59.3262,52.6222,27.5588,10.4257,8.7838,6.7213,0.7996,79.4728
